Contracts,Filled Type,Filled/Total,Filled Price/Order Price,Fee Rate,Trading Fee,Trade Type,Order Type,Transaction ID,Transaction Time,Risk Amount
"SOLUSDT","Trade","5.0/5.0","146.670/Market","0.055%","0.40334250","Close Short","Market","934f1a82","2025-07-06 00:31:51","5.6500"
"SOLUSDT","Trade","5.0/5.0","147.800/147.800","0.055%","0.40645000","Open Short","Limit","ae7baec3","2025-07-05 20:28:50","-"
"SOLUSDT","Trade","5.0/5.0","145.440/Market","0.055%","0.39996000","Close Short","Market","b63b3501","2025-07-05 00:20:37","8.6500"
"SOLUSDT","Trade","5.0/5.0","147.170/147.130","0.02%","0.14717000","Open Short","Limit","2e560d61","2025-07-04 23:20:27","-"
"SOLUSDT","Trade","5.0/5.0","148.860/Market","0.055%","0.40936500","Close Short","Market","40acbf5e","2025-07-04 21:49:26","7.4500"
"SOLUSDT","Trade","5.0/5.0","150.350/150.350","0.02%","0.15035000","Open Short","Limit","0582d602","2025-07-04 18:25:30","-"
"SOLUSDT","Trade","0.5/0.5","151.650/Market","0.055%","0.04170375","Close Long","Market","421745f5","2025-07-03 23:05:42","1.3700"
"SOLUSDT","Trade","0.5/0.5","154.390/154.390","0.02%","0.01543900","Open Long","Limit","d57124de","2025-07-03 21:52:49","-"
"SOLUSDT","Trade","0.4/0.4","153.470/Market","0.055%","0.03376340","Close Short","Market","26f7763a","2025-07-03 21:31:35","0.2720"
"SOLUSDT","Trade","0.4/0.4","152.790/152.790","0.02%","0.01222320","Open Short","Limit","23e5d61f","2025-07-03 20:43:07","-"
"SOLUSDT","Trade","2.0/2.0","154.810/Market","0.055%","0.17029100","Close Short","Market","21ad4965","2025-07-03 20:30:01","0.6200"
"SOLUSDT","Trade","2.0/2.0","154.500/154.500","0.055%","0.16995000","Open Short","Limit","5d654d18","2025-07-03 20:07:52","-"
"SOLUSDT","Trade","5.0/5.0","146.000/Market","0.055%","0.40150000","Close Short","Market","47faa02d","2025-06-20 21:51:18","10.7500"
"SOLUSDT","Trade","5.0/5.0","148.150/148.100","0.055%","0.40741250","Open Short","Limit","bcea1d95","2025-06-20 20:15:55","-"
"SOLUSDT","Trade","1.0/1.0","145.500/Market","0.055%","0.08002500","Close Short","Market","966a573e","2025-06-20 04:28:17","0.0600"
"SOLUSDT","Trade","1.0/1.0","145.440/145.370","0.055%","0.07999200","Open Short","Limit","a9552705","2025-06-20 04:28:09","-"
"SOLUSDT","Trade","1.0/1.0","145.400/Market","0.055%","0.07997000","Close Short","Market","ca2f12f8","2025-06-20 04:26:56","0.0300"
"SOLUSDT","Trade","1.0/1.0","145.370/145.370","0.02%","0.02907400","Open Short","Limit","45dd6356","2025-06-20 04:26:56","-"
"SOLUSDT","Trade","0.6/0.6","145.310/Market","0.055%","0.04795230","Close Short","Market","b3a6c735","2025-06-20 02:59:20","0.1260"
"SOLUSDT","Trade","0.6/0.6","145.100/145.100","0.02%","0.01741200","Open Short","Limit","d44a8b21","2025-06-20 02:37:57","-"
"SOLUSDT","Trade","1.2/1.2","145.300/Market","0.055%","0.09589800","Close Short","Market","0818407e","2025-06-20 02:29:52","0.0960"
"SOLUSDT","Trade","0.6/0.6","145.280/145.200","0.055%","0.04794240","Open Short","Limit","20e76d45","2025-06-20 02:29:42","-"
"SOLUSDT","Trade","0.6/0.6","145.480/145.480","0.02%","0.01745760","Open Short","Limit","43f23c00","2025-06-20 02:19:17","-"
